x0, freq, imag_part, real_part
-30, 1, -2.396543693736600033616923610680, 22.540012782826000403701982577331
-30, 2, -3.423118923942900071466510780738, 21.546819599081999285772326402366
-30, 4, -4.910406370485399740744014707161, 20.051425067347000918971389182843
-30, 6, -6.036633537934400273172741435701, 18.775679542142999167708694585599
-30, 8, -6.926778306904900261997681809589, 17.591260694011001675107763730921
-30, 10, -7.629393268916000003798671968980, 16.466757452652998949815810192376
-25, 1, -2.396477874946799868638436237234, 22.539490308221001413357953424565
-25, 2, -3.423010217953100120524823068990, 21.546335761000001696174876997247
-25, 4, -4.910266123169599872255730588222, 20.050985962961000552695622900501
-25, 6, -6.036460457048200112240010639653, 18.775269633095998500493806204759
-25, 8, -6.926573710770600023067800066201, 17.590880082519998239831693354063
-25, 10, -7.629161193363599657857321290066, 16.466408072252999517104399274103
-20, 1, -2.396477003594999821700639586197, 22.539513203662998819254426052794
-20, 2, -3.423036182595000198602974705864, 21.546321002763001217772398376837
-20, 4, -4.910269077904500178988200786989, 20.050949180237001456816869904287
-20, 6, -6.036449621710000101870718935970, 18.775236685947998438450667890720
-20, 8, -6.926556940520599781052624166477, 17.590852686369000679178498103283
-20, 10, -7.629141368375900178477877489058, 16.466385062457998600393693777733
-17, 1, -2.396568894309599961900403286563, 22.540393396024001049227081239223
-17, 2, -3.423186845552899981726113765035, 21.547133939948999170610477449372
-17, 4, -4.910463452309199894330049573909, 20.051700466820001622636482352391
-17, 6, -6.036684747314200016887753008632, 18.775938078637000927528788452037
-17, 8, -6.926823024814099838408765208442, 17.591510054852999900276699918322
-17, 10, -7.629433130566500409486252465285, 16.467002825276999544712452916428
-15, 1, -2.396373983057900058923905817210, 22.538347927633999745467008324340
-15, 2, -3.422854968516599871719563452643, 21.545219880019001124082933529280
-15, 4, -4.910006660390499710899803176289, 20.049938513453998467639394220896
-15, 6, -6.036125947246899769993433437776, 18.774294213017999055637119454332
-15, 8, -6.926183518369500191624865692575, 17.589975979266998962202706024982
-15, 10, -7.628730215699800254469664650969, 16.465572340133000750483915908262
-14, 1, -2.396558111987900030470655110548, 22.540198081945000296855141641572
-14, 2, -3.423143743999800037158820487093, 21.547006897191998575635807355866
-14, 4, -4.910443118402099571540020406246, 20.051596456041000493542014737613
-14, 6, -6.036669837770600288706646097125, 18.775835301808001531753689050674
-14, 8, -6.926809944860099932384400744922, 17.591406965769998294035758590326
-14, 10, -7.629420173529600113226933899568, 16.466898648510998270921845687553
-13, 1, -2.396386864752099832287512981566, 22.538820678638998629139678087085
-13, 2, -3.422971243131700092021674208809, 21.545661821528998558505918481387
-13, 4, -4.910178337972800122201988415327, 20.050307874767000271276629064232
-13, 6, -6.036338364308000414837351854658, 18.774609340962999937119093374349
-13, 8, -6.926421305064500266723825916415, 17.590235661948998568959723343141
-13, 10, -7.628979454552900385522207216127, 16.465780585625999776766548166052
-11, 1, -2.396499107622100055436931143049, 22.539345881885001432465287507512
-11, 2, -3.423027466719500200298398340237, 21.546301108605998564371475367807
-11, 4, -4.910306848520599842800038459245, 20.050932176498001524578285170719
-11, 6, -6.036497793102800102360561140813, 18.775200059020001219778350787237
-11, 8, -6.926606349851899935288201959338, 17.590799062102998817636034800671
-11, 10, -7.629187856556399971452719910303, 16.466317496849001145164947956800
-12, 1, -2.396541097730899849693741998635, 22.539979858100000598142287344672
-12, 2, -3.423110154482699840627901721746, 21.546892001155001139522937592119
-12, 4, -4.910438175066199839591263298644, 20.051487568163999242187855998054
-12, 6, -6.036667372080199989170523622306, 18.775717693345001180205144919455
-12, 8, -6.926802348084000193750853213714, 17.591281101378001494595082476735
-12, 10, -7.629403209960799792099805927137, 16.466767364706001330887374933809
-10, 1, -2.396514540597499909324596956139, 22.539581169984000297290549497120
-10, 2, -3.423052779489700103709992617951, 21.546574159430001316195557592437
-10, 4, -4.910361842711799873484324052697, 20.051179856771000231674406677485
-10, 6, -6.036556196689099706986780802254, 18.775431294627001221897444338538
-10, 8, -6.926668676087899712001672014594, 17.591021294710998290611314587295
-10, 10, -7.629254936156799615787349466700, 16.466532290682998507236334262416
-9, 1, -2.396509034690100126141487635323, 22.538687657372999950666780932806
-9, 2, -3.422866633326099972123301995452, 21.545772365895000888258437043987
-9, 4, -4.910134396471000250983252044534, 20.050514512772000585982823395170
-9, 6, -6.036300473533800392544890200952, 18.774824123729001001947835902683
-9, 8, -6.926385911777599879712852271041, 17.590468308188000889913382707164
-9, 10, -7.628954635437899867156374966726, 16.466030672649999644363560946658
-8, 1, -2.396863140489799981480700807879, 22.540080882036999554429712588899
