epoch,total_loss,data_loss,physics_loss
5900,1.253105e+00,8.870421e-05,1.253016e+00
5950,1.240770e+00,8.155807e-05,1.240688e+00
6000,1.223086e+00,8.152873e-05,1.223004e+00
6050,1.222376e+00,8.923304e-05,1.222287e+00
6100,1.207028e+00,8.180190e-05,1.206946e+00
6150,1.203385e+00,8.160643e-05,1.203303e+00
6200,1.191330e+00,8.135407e-05,1.191248e+00
6250,1.176343e+00,1.115560e-04,1.176232e+00
6300,1.160541e+00,8.165582e-05,1.160459e+00
6350,1.152584e+00,1.083142e-04,1.152476e+00
6400,1.148604e+00,9.519116e-05,1.148509e+00
6450,1.133924e+00,8.749641e-05,1.133837e+00
6500,1.125633e+00,8.205765e-05,1.125551e+00
6550,1.111270e+00,8.232880e-05,1.111188e+00
6600,1.104498e+00,8.253205e-05,1.104416e+00
6650,1.087801e+00,1.332860e-04,1.087668e+00
6700,1.080913e+00,8.222331e-05,1.080831e+00
6750,1.070831e+00,1.115536e-04,1.070719e+00
6800,1.061899e+00,1.209858e-04,1.061778e+00
6850,1.049834e+00,1.572784e-04,1.049677e+00
6900,1.041734e+00,8.413714e-05,1.041650e+00
6950,1.030734e+00,8.209585e-05,1.030652e+00
7000,1.019145e+00,8.511642e-05,1.019060e+00
7050,1.010452e+00,8.226297e-05,1.010370e+00
7100,1.002559e+00,8.589192e-05,1.002473e+00
7150,9.935644e-01,8.183537e-05,9.934826e-01
7200,9.835365e-01,3.537784e-04,9.831827e-01
7250,9.714914e-01,8.475209e-05,9.714066e-01
7300,9.644946e-01,1.938595e-04,9.643008e-01
7350,9.587445e-01,8.328670e-05,9.586612e-01
7400,9.492884e-01,8.309323e-05,9.492053e-01
7450,9.357944e-01,8.277388e-05,9.357116e-01
7500,9.279445e-01,1.206283e-04,9.278238e-01
7550,9.250221e-01,9.425931e-05,9.249278e-01
7600,9.121124e-01,8.229176e-05,9.120300e-01
7650,9.090604e-01,9.250056e-05,9.089679e-01
7700,8.960476e-01,1.696354e-04,8.958780e-01
7750,8.861948e-01,8.327865e-05,8.861116e-01
7800,8.781629e-01,8.188451e-05,8.780810e-01
7850,8.678579e-01,8.186671e-05,8.677761e-01
7900,8.612595e-01,8.317568e-05,8.611763e-01
7950,8.513599e-01,8.733827e-05,8.512726e-01
8000,8.453900e-01,8.958371e-05,8.453004e-01
8050,8.399610e-01,8.691222e-05,8.398741e-01
8100,8.270010e-01,8.252624e-05,8.269184e-01
8150,8.222985e-01,8.504731e-05,8.222135e-01
8200,8.172395e-01,8.202600e-05,8.171574e-01
